Temperature,Humidity,"PM2,5",PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
32.20,68.50,12.00,23.40,26.20,9.30,1.52,6.10,370.00,1
27.20,60.50,1.30,4.70,22.70,3.70,0.95,16.10,241.00,0
31.20,51.40,28.10,41.10,15.60,12.10,1.44,5.70,386.00,1
28.30,56.40,22.10,30.30,28.00,0.60,1.48,8.20,331.00,1
23.90,66.70,4.60,7.90,15.40,7.10,0.95,12.40,362.00,0
33.80,80.40,17.50,32.80,21.10,12.30,1.51,5.00,361.00,1
49.60,79.90,13.40,26.40,37.80,28.80,2.71,3.30,639.00,3
32.30,72.80,3.40,30.60,42.30,2.80,2.04,4.50,636.00,3
43.00,83.10,58.20,80.20,34.70,9.10,1.88,6.00,375.00,2
34.70,80.30,2.80,10.90,17.20,8.80,1.56,5.20,324.00,1
37.70,107.50,22.70,53.00,37.10,25.30,2.58,5.10,543.00,3
24.60,42.10,0.90,10.30,23.40,9.10,0.83,11.50,545.00,0
29.50,79.80,12.80,29.80,33.20,13.30,1.10,5.90,389.00,1
27.70,60.20,0.40,5.70,25.30,6.20,1.05,12.90,218.00,0
26.80,98.60,0.90,21.60,34.80,12.90,2.00,6.60,712.00,2
30.10,75.10,20.50,33.40,28.20,5.40,1.44,6.20,648.00,1
22.30,65.70,1.00,5.70,26.80,3.50,0.91,13.30,282.00,0
28.00,86.90,7.10,16.50,19.60,7.80,1.77,5.70,665.00,1
35.40,75.00,10.00,18.80,24.00,13.60,1.50,6.20,390.00,1
36.00,75.30,43.40,59.50,35.10,22.10,1.97,3.60,468.00,2
27.10,74.10,4.70,8.70,25.30,5.90,1.00,13.50,555.00,0
24.90,66.00,5.40,7.50,25.00,0.70,1.09,10.90,263.00,0
23.20,69.70,5.80,14.10,24.60,3.50,0.97,12.30,579.00,0
34.90,63.00,59.70,69.20,29.50,8.20,1.07,5.20,568.00,1
44.80,97.80,35.20,58.00,38.30,29.60,2.80,6.30,816.00,3
41.30,90.60,70.60,88.50,45.00,30.20,2.93,6.80,902.00,3
33.50,82.90,21.90,45.60,37.10,20.90,1.72,4.70,591.00,2
27.70,83.60,3.80,19.90,32.90,17.80,2.09,5.30,632.00,2
38.60,111.40,9.90,20.00,36.30,22.50,1.74,7.50,591.00,2
24.10,72.60,27.70,36.50,35.30,6.50,1.95,8.40,493.00,1
26.80,60.20,4.40,10.10,25.70,4.50,1.29,12.60,234.00,0
33.80,66.10,55.50,79.20,35.20,18.60,2.06,4.50,636.00,2
18.50,57.30,7.70,11.10,22.80,4.70,1.10,10.20,600.00,0
30.30,69.40,41.80,51.20,22.50,5.80,1.57,6.10,434.00,1
23.80,44.40,7.50,11.90,23.10,3.10,0.90,11.50,602.00,0
24.80,39.80,58.40,68.20,26.50,3.70,0.93,16.50,397.00,0
26.80,83.00,53.40,69.00,17.60,15.20,1.82,7.50,668.00,1
26.50,51.70,0.70,5.30,10.70,7.10,1.05,10.20,555.00,0
33.40,52.70,53.50,63.40,26.50,10.00,1.32,12.40,329.00,1
31.60,100.30,6.40,21.20,43.50,14.50,1.79,8.10,558.00,2
32.20,60.70,48.90,65.10,41.10,14.40,2.79,2.90,875.00,3
39.10,66.80,9.70,21.20,34.10,5.40,2.33,6.60,679.00,2
22.40,42.80,1.10,8.70,15.20,7.00,1.03,12.10,216.00,0
27.20,46.30,14.80,18.80,19.70,7.30,1.05,10.80,496.00,0
30.10,91.00,32.10,38.50,23.70,10.60,1.44,6.00,363.00,1
32.80,58.90,30.10,52.00,33.60,22.40,1.73,3.40,476.00,2
29.60,76.10,31.00,48.70,51.20,9.30,2.70,2.90,788.00,3
22.60,43.50,21.00,24.90,24.50,4.80,0.99,10.00,284.00,0
25.40,71.80,1.80,11.80,21.30,10.20,1.33,7.20,506.00,1
21.80,73.40,12.10,12.00,26.20,6.60,1.04,25.80,224.00,0
29.90,51.40,2.80,14.20,23.70,10.00,1.43,9.00,321.00,1
22.80,67.90,66.80,79.80,28.30,4.30,1.17,5.90,397.00,1
42.50,80.90,33.30,44.40,34.10,11.10,2.28,4.20,682.00,2
37.40,105.60,22.80,44.90,31.10,9.50,2.68,3.60,563.00,2
36.60,109.90,0.40,16.40,39.90,13.00,1.57,5.90,690.00,2
29.10,77.10,61.80,76.50,28.50,8.40,1.71,5.70,591.00,1
29.70,72.20,9.00,10.40,19.60,5.60,1.09,10.60,409.00,0
29.90,84.50,11.50,24.00,22.20,7.70,1.69,5.10,424.00,1
22.80,52.50,10.80,16.00,15.50,9.50,1.07,11.20,489.00,0
35.90,69.90,6.20,17.20,34.00,12.50,2.18,7.00,447.00,2
30.60,41.90,7.00,11.50,17.00,6.50,1.12,11.30,486.00,0
35.20,85.50,0.50,12.40,30.80,12.20,1.91,6.90,318.00,1
20.60,60.30,33.80,38.30,19.90,1.10,1.07,10.10,207.00,0
22.50,40.70,26.50,31.80,26.40,7.00,1.18,10.90,452.00,0
26.80,75.70,16.60,23.90,21.00,1.60,1.01,11.40,390.00,0
36.40,111.60,35.80,67.00,43.10,8.30,2.32,8.30,813.00,3
25.10,42.60,12.30,20.10,25.00,6.30,1.08,13.70,455.00,0
36.20,63.60,16.10,27.30,23.40,9.60,1.73,7.60,574.00,1
35.40,78.90,3.90,15.70,33.50,15.80,1.97,4.90,695.00,2
40.30,66.10,11.80,21.00,43.40,15.80,2.02,6.20,824.00,2
22.70,89.60,19.50,35.40,27.00,10.80,1.37,6.30,632.00,1
32.70,93.00,12.60,23.50,23.50,0.80,1.51,6.00,598.00,1
33.30,73.10,21.60,33.10,44.50,7.40,1.98,8.80,723.00,2
28.00,65.50,0.30,7.10,11.80,5.90,1.12,14.30,337.00,0
29.10,76.20,2.00,7.30,20.30,5.40,0.98,17.90,404.00,0
25.90,59.90,2.40,6.10,31.70,13.90,1.47,5.80,388.00,1
42.00,77.90,9.50,31.00,37.60,17.00,2.38,12.00,484.00,3
32.90,63.10,12.10,17.50,24.70,12.30,1.57,5.10,467.00,1
29.80,85.50,6.20,15.40,34.00,4.50,1.34,11.30,405.00,1
32.00,88.80,4.70,13.50,29.40,11.50,1.62,7.90,604.00,1
34.10,79.10,165.50,190.70,45.30,9.00,1.95,5.30,846.00,3
42.80,116.10,10.30,31.60,36.90,15.30,2.34,4.10,755.00,3
35.50,86.00,75.70,86.80,19.80,12.10,1.79,8.60,612.00,1
26.20,52.60,11.30,11.50,29.30,14.60,1.55,7.30,397.00,1
26.10,54.50,1.50,5.80,17.20,3.10,0.98,17.90,327.00,0
19.10,64.90,2.50,10.50,26.00,6.00,1.08,10.40,368.00,0
34.10,72.90,2.20,15.60,33.60,4.90,1.43,5.60,526.00,1
23.20,88.90,55.50,60.90,31.40,13.10,1.19,5.50,351.00,1
27.60,79.30,14.00,40.20,37.60,10.60,2.24,3.60,608.00,2
19.50,42.70,3.80,8.60,23.80,1.70,1.06,10.40,390.00,0
31.20,54.00,16.40,22.80,23.00,3.90,1.59,9.40,492.00,1
31.50,53.90,2.50,10.80,29.90,12.70,1.58,5.30,395.00,1
47.70,69.20,41.80,50.70,38.30,22.20,2.58,5.90,651.00,2
27.70,81.80,1.10,8.90,26.50,20.10,1.33,5.20,317.00,1
24.60,52.40,4.10,18.10,27.00,14.70,1.40,8.80,356.00,1
36.40,107.90,16.40,32.00,25.70,14.70,2.03,3.60,686.00,2
31.20,54.10,8.20,15.00,16.30,4.60,0.88,14.80,531.00,0
37.60,94.40,19.50,27.30,50.30,6.20,2.47,3.70,889.00,3
27.40,76.30,10.40,14.10,10.30,5.40,0.91,10.30,328.00,0
29.00,79.20,66.50,82.10,25.80,16.70,1.51,5.30,575.00,1
26.50,41.40,6.80,11.80,26.60,6.40,0.88,12.40,383.00,0
25.00,63.50,24.70,27.00,16.10,2.00,0.91,15.90,407.00,0
41.00,82.30,90.10,109.20,48.80,27.50,1.52,4.30,450.00,2
26.50,79.20,51.00,58.80,22.30,12.00,1.54,5.20,344.00,1
36.00,75.20,4.70,10.50,33.50,0.40,1.72,6.50,336.00,1
23.60,76.10,1.20,5.80,25.80,4.50,1.01,10.20,306.00,0
26.70,48.80,19.70,23.80,31.80,5.30,1.27,5.30,538.00,1
28.20,75.80,164.90,168.70,22.90,15.40,1.53,5.50,346.00,1
31.60,105.90,0.40,15.70,38.40,11.90,1.34,6.50,421.00,2
21.80,43.30,1.30,5.10,19.80,8.00,0.84,10.60,451.00,0
29.40,56.00,24.30,41.90,30.50,5.30,1.64,12.50,375.00,1
34.60,86.10,17.80,28.90,37.40,10.20,1.44,6.40,414.00,1
30.50,62.30,13.30,18.80,19.70,5.20,1.01,11.40,495.00,0
26.50,86.30,28.00,54.10,56.60,9.60,2.02,4.80,603.00,3
33.50,58.90,12.10,29.40,49.80,16.70,2.02,3.10,678.00,3
24.40,59.30,8.90,15.70,26.40,6.60,0.94,10.40,576.00,0
22.60,54.60,20.70,25.10,14.10,4.00,1.04,16.10,429.00,0
25.60,87.40,23.60,32.30,29.20,3.10,1.59,6.20,582.00,1
24.60,71.20,21.10,41.70,27.00,17.70,1.93,3.40,528.00,2
42.20,83.40,40.30,49.70,36.80,15.80,1.39,3.50,766.00,2
28.30,82.70,11.70,19.70,28.60,14.50,1.27,5.20,430.00,1
39.80,78.50,21.50,41.40,32.30,29.50,2.50,5.80,790.00,2
24.40,66.20,2.90,8.60,20.80,5.60,0.93,13.10,467.00,0
20.30,63.00,21.70,24.10,16.50,4.30,0.89,17.10,191.00,0
21.30,48.30,2.40,5.80,15.50,6.30,1.08,10.50,296.00,0
28.40,44.50,8.70,16.60,25.00,0.90,1.03,10.30,208.00,0
22.20,43.10,5.10,9.00,15.70,3.20,1.00,10.70,377.00,0
31.30,73.80,33.80,46.60,31.00,22.80,1.92,4.60,681.00,2
26.30,74.50,12.70,18.30,21.10,1.10,1.01,13.10,365.00,0
30.90,60.30,56.30,68.70,22.80,10.50,1.40,7.40,426.00,1
27.80,75.40,6.00,14.40,16.80,12.80,1.47,5.70,539.00,1
32.30,80.60,11.00,17.60,25.80,3.10,1.26,6.70,670.00,1
26.00,66.50,1.70,5.40,20.20,5.80,1.00,10.20,399.00,0
23.50,60.10,0.40,7.20,17.20,6.10,1.02,10.10,384.00,0
25.70,67.70,43.00,52.40,22.50,7.20,1.35,6.00,415.00,1
24.00,45.30,20.80,25.70,12.90,3.60,0.77,13.40,346.00,0
31.80,80.10,5.60,7.60,24.40,16.60,1.56,10.40,679.00,1
33.20,90.60,42.90,57.20,22.40,13.00,2.44,7.50,497.00,2
27.40,73.50,17.10,22.10,15.70,8.30,0.92,12.00,572.00,0
35.10,82.50,3.80,13.00,45.40,3.90,2.24,3.70,703.00,2
33.10,61.00,27.70,39.20,25.80,10.20,1.84,4.80,448.00,2
22.90,50.00,19.20,23.40,18.80,6.00,0.95,12.20,225.00,0
31.40,94.30,68.90,72.80,24.00,14.30,1.99,6.70,347.00,1
23.90,65.30,26.10,33.50,22.30,1.40,1.03,12.60,499.00,0
38.60,72.20,48.80,67.70,36.20,28.60,2.21,3.00,860.00,3
49.80,79.20,70.10,82.70,50.30,20.60,1.91,5.20,617.00,2
23.10,60.10,1.50,8.00,19.30,6.30,1.08,13.30,340.00,0
26.90,53.50,20.00,28.40,29.50,5.30,1.36,8.50,313.00,1
28.70,77.30,23.10,24.70,12.10,7.60,1.02,10.70,577.00,0
31.00,71.40,4.30,10.30,19.50,7.90,0.99,11.10,212.00,0
32.80,73.60,18.60,39.50,21.40,12.20,2.21,4.40,590.00,2
22.40,57.30,5.80,9.60,23.60,4.30,1.08,11.00,595.00,0
27.20,52.70,7.40,13.90,22.20,5.40,0.94,11.40,577.00,0
26.60,64.10,3.00,11.30,26.80,3.70,0.95,11.10,550.00,0
22.90,52.60,7.60,15.30,26.30,4.40,0.99,11.10,517.00,0
30.70,71.10,26.10,34.50,19.00,3.20,0.78,11.30,512.00,0
20.20,40.40,3.60,13.50,20.50,5.40,1.03,11.90,475.00,0
26.20,80.80,10.20,16.30,13.90,3.20,0.86,12.00,328.00,0
25.40,73.20,28.70,35.40,12.30,6.00,1.13,10.10,371.00,0
33.40,59.90,33.00,41.00,25.40,10.80,1.64,7.00,406.00,1
26.70,41.70,13.20,18.90,18.90,6.30,0.90,12.30,550.00,0
34.50,71.40,29.50,52.60,37.90,17.10,2.09,3.90,744.00,2
40.50,70.40,35.80,44.70,22.20,9.70,1.33,5.50,398.00,1
35.60,75.30,48.10,63.60,43.70,29.20,3.03,2.90,587.00,3
27.10,79.90,31.70,50.90,47.60,5.20,2.00,6.80,447.00,2
26.70,85.40,4.90,11.90,26.30,19.40,2.22,5.20,421.00,2
39.20,111.20,25.70,46.90,45.60,25.20,2.25,4.50,692.00,3
38.10,96.60,59.50,79.60,40.50,24.40,2.41,4.90,863.00,3
26.50,78.90,6.30,18.50,34.90,11.60,1.95,5.00,555.00,1
23.20,40.30,2.30,8.90,19.50,5.70,0.89,11.10,255.00,0
33.60,48.80,19.20,27.30,17.10,4.30,1.04,11.10,267.00,0
27.00,67.80,24.80,28.90,12.90,3.90,1.10,14.70,559.00,0
41.90,90.10,26.60,50.70,46.30,18.20,2.38,5.10,531.00,3
29.90,78.60,25.10,30.10,26.50,7.20,1.49,7.30,323.00,1
26.40,76.00,16.00,32.90,31.80,10.60,2.15,4.80,548.00,2
32.60,71.90,48.00,60.00,30.80,6.80,2.00,5.00,388.00,1
16.70,52.90,0.00,7.30,19.90,6.90,0.95,11.00,229.00,0
21.50,59.90,4.10,5.50,15.10,7.10,0.97,11.80,365.00,0
29.90,54.20,24.60,38.50,30.90,14.10,1.67,7.00,359.00,1
30.60,47.90,14.40,18.80,16.10,2.40,1.05,12.40,386.00,0
29.20,77.70,35.40,36.10,37.10,17.90,2.24,6.60,571.00,2
29.40,42.70,1.70,7.80,19.10,4.50,0.84,13.40,228.00,0
33.30,66.30,13.60,25.80,19.30,12.90,1.41,8.40,460.00,1
28.90,53.40,5.40,22.00,26.20,18.60,1.44,6.70,449.00,1
34.10,62.30,130.00,137.40,33.60,7.10,2.04,4.10,442.00,2
28.70,67.40,11.00,15.20,19.20,8.30,1.13,10.30,481.00,0
35.30,65.30,25.60,36.80,19.20,6.00,1.57,5.50,576.00,1
27.90,48.10,1.30,14.60,32.50,0.90,1.55,7.00,449.00,1
24.10,74.70,5.10,12.10,10.50,6.40,1.07,11.00,454.00,0
31.30,100.00,11.10,35.60,39.10,35.80,1.95,2.80,754.00,3
30.40,78.90,17.50,30.80,26.10,7.90,1.39,6.30,608.00,1
26.80,67.20,7.90,17.10,25.10,6.70,0.99,11.90,547.00,0
28.60,83.10,19.90,29.10,35.80,12.30,1.93,7.40,674.00,1
25.80,62.60,11.70,16.70,10.00,6.60,1.01,15.80,413.00,0
28.90,49.80,0.30,1.50,20.50,8.50,1.13,11.40,485.00,0
42.90,104.00,52.50,80.90,22.90,13.00,2.42,4.40,680.00,2
44.20,101.00,2.60,10.20,30.30,24.30,1.91,3.50,408.00,2
21.00,93.80,6.30,19.40,37.50,13.60,2.18,3.90,669.00,2
31.30,84.70,35.50,42.00,17.90,11.10,1.23,5.60,509.00,1
23.00,48.90,0.50,8.80,20.20,4.50,1.08,11.90,496.00,0
38.50,95.40,66.90,92.30,46.00,15.70,2.63,4.10,654.00,3
29.60,46.20,0.80,4.40,26.80,3.60,1.03,11.90,300.00,0
40.30,73.40,11.30,29.90,31.40,25.30,2.11,3.90,380.00,2
41.20,85.90,3.40,21.20,39.60,8.40,2.27,3.50,689.00,2
29.10,41.50,0.90,4.80,18.70,3.40,1.02,12.60,337.00,0
26.70,53.80,6.90,21.80,25.30,7.70,1.59,6.40,295.00,1
29.70,69.00,18.00,26.30,28.90,9.80,1.58,5.40,674.00,1
29.50,69.80,5.90,21.10,27.60,18.90,1.82,3.60,694.00,2
40.00,83.40,5.00,25.60,45.00,14.50,2.40,4.70,927.00,3
31.60,77.80,12.30,18.10,31.80,8.90,1.72,3.80,590.00,2
29.50,67.30,5.10,11.70,20.50,3.60,1.11,11.20,379.00,0
32.20,66.70,22.80,34.70,29.60,17.60,2.69,9.10,441.00,2
28.70,63.90,13.50,25.30,16.20,10.90,1.17,6.30,478.00,1
26.40,51.10,0.70,3.60,27.80,9.60,1.09,10.90,281.00,0
37.00,100.40,19.80,34.20,32.70,15.80,2.18,3.90,745.00,2
32.20,84.10,4.30,13.30,20.10,12.60,1.38,6.70,401.00,1
22.90,50.10,7.00,13.70,12.10,8.40,1.09,13.60,589.00,0
31.50,73.70,1.10,24.10,37.50,23.60,1.78,5.40,533.00,2
52.30,74.50,14.90,24.00,29.70,19.30,1.78,3.60,515.00,2
35.70,82.00,40.50,57.90,25.30,13.60,2.14,7.70,614.00,2
32.20,70.00,3.50,10.20,25.40,19.30,2.59,3.90,735.00,2
35.60,57.60,19.40,33.50,35.10,10.00,1.57,5.10,424.00,1
23.40,54.70,4.00,12.30,24.10,2.80,0.87,10.20,433.00,0
24.80,80.30,9.20,14.00,12.20,4.80,0.90,11.10,277.00,0
31.30,75.00,37.80,47.10,32.60,11.00,1.87,5.60,451.00,2
27.20,42.80,12.50,15.00,14.60,3.30,1.10,10.90,284.00,0
26.20,64.20,1.90,6.60,19.70,6.20,1.05,13.80,369.00,0
51.10,70.00,2.20,3.80,39.80,20.10,2.65,4.20,684.00,3
33.80,71.40,35.90,59.10,36.10,15.00,1.74,3.60,619.00,2
34.60,80.30,8.60,29.20,31.50,7.40,1.28,9.50,326.00,1
34.60,71.60,21.70,37.50,30.70,16.40,2.18,4.10,754.00,2
27.40,78.00,5.00,21.90,33.80,16.50,1.57,5.60,468.00,1
26.80,42.10,5.40,11.70,20.10,4.50,0.85,13.10,276.00,0
33.20,72.00,4.10,16.30,24.80,6.60,2.02,5.90,662.00,2
40.80,93.80,11.30,27.20,53.40,23.20,2.72,4.70,688.00,3
16.00,64.10,13.40,18.90,24.40,2.00,1.00,12.20,487.00,0
30.90,73.70,5.50,10.20,32.50,2.30,1.83,6.90,653.00,1
35.00,80.20,11.90,24.40,30.40,14.10,1.71,4.50,617.00,2
31.20,86.30,39.30,52.80,16.80,9.90,1.73,5.90,571.00,1
26.00,86.80,85.40,95.80,24.80,3.90,1.23,5.40,481.00,1
25.40,74.20,40.60,46.10,19.70,9.90,1.32,6.10,459.00,1
38.50,83.80,19.50,31.00,28.00,14.30,2.22,7.30,443.00,2
30.90,89.00,7.30,30.90,37.30,6.80,2.21,4.40,660.00,2
45.50,67.60,51.40,64.50,36.90,9.40,1.93,4.20,467.00,2
23.20,86.50,3.10,21.40,22.30,15.00,1.56,7.30,601.00,1
38.90,77.50,5.20,25.60,43.70,15.40,2.32,4.20,610.00,2
32.80,63.60,33.10,54.90,33.00,19.60,1.48,4.70,655.00,2
49.90,91.60,26.60,51.10,31.80,29.00,2.48,5.40,849.00,3
30.80,84.40,34.20,50.30,27.80,16.10,1.30,5.10,416.00,1
26.60,66.00,2.20,3.70,27.70,11.70,1.63,6.60,395.00,1
40.60,92.20,80.40,103.60,45.80,12.10,1.97,6.80,744.00,2
26.00,45.30,5.30,12.40,27.40,7.20,0.78,18.90,546.00,0
33.00,47.00,16.40,23.00,26.30,4.90,1.22,9.80,655.00,1
17.70,75.20,3.50,8.00,18.60,2.00,1.04,13.00,593.00,0
31.50,55.40,50.20,68.70,31.50,6.00,2.13,4.40,529.00,2
40.00,94.40,19.90,49.30,51.00,22.50,2.47,4.10,601.00,3
39.50,70.40,9.90,30.30,48.30,36.80,2.68,3.20,896.00,3
25.30,73.80,6.50,19.10,32.40,12.60,1.20,5.50,419.00,1
18.90,63.20,6.20,8.00,13.90,5.00,1.09,10.30,410.00,0
28.20,73.50,3.80,14.80,24.80,11.10,1.11,7.00,577.00,1
34.30,102.40,38.80,58.40,40.40,12.80,2.09,2.70,811.00,3
27.80,56.70,6.70,18.00,26.90,6.10,1.64,6.10,371.00,1
26.70,52.80,27.30,31.80,15.60,1.90,0.89,11.90,318.00,0
38.20,110.10,0.10,12.50,41.70,15.80,1.98,6.20,709.00,2
27.80,79.00,16.60,24.00,25.50,5.20,1.06,10.30,359.00,0
22.10,41.00,14.80,20.30,12.80,4.90,1.18,15.00,217.00,0
22.90,57.40,15.90,22.80,20.60,7.50,0.91,10.40,336.00,0
21.90,45.10,13.90,15.30,26.30,1.40,0.92,11.40,262.00,0
22.70,68.40,14.60,25.80,26.50,3.00,1.37,5.40,321.00,1
22.40,69.00,9.20,12.20,18.70,4.00,1.15,12.80,245.00,0
26.10,61.70,5.30,8.60,19.50,9.10,1.07,15.40,381.00,0
23.90,62.90,8.90,17.30,17.40,4.50,0.93,13.60,494.00,0
24.60,62.70,13.50,17.90,29.40,7.90,1.51,6.20,510.00,1
25.40,80.00,3.50,11.40,24.10,8.90,1.03,13.70,373.00,0
25.50,63.80,2.20,4.30,24.90,4.70,1.10,13.40,459.00,0
27.80,42.10,1.50,5.30,13.50,3.80,1.09,10.80,527.00,0
28.20,61.20,1.20,10.90,22.70,7.10,1.86,8.60,501.00,1
37.70,83.00,109.40,119.80,43.10,11.30,1.64,6.10,614.00,2
31.30,73.40,72.80,88.80,54.10,17.10,2.54,2.60,755.00,3
30.40,51.10,1.20,8.00,17.10,4.70,1.00,11.60,576.00,0
42.60,106.60,82.40,97.20,50.60,16.00,3.17,2.80,719.00,3
32.40,88.50,37.80,57.30,48.50,21.20,2.23,3.40,769.00,3
24.00,43.40,5.40,9.50,15.80,1.70,0.98,11.00,441.00,0
28.20,62.70,0.10,7.50,17.40,4.70,0.87,12.00,528.00,0
31.20,62.30,0.90,8.70,20.40,15.00,1.49,8.60,599.00,1
33.20,57.30,6.30,20.30,31.20,5.80,1.69,8.20,316.00,1
43.40,78.10,37.00,52.30,44.60,16.00,2.03,2.50,799.00,3
36.00,89.80,33.00,47.90,26.00,-0.10,1.74,4.30,490.00,2
33.10,57.80,17.20,33.00,28.30,9.20,1.38,5.20,642.00,1
34.40,94.50,25.50,48.80,26.30,9.90,1.47,9.30,457.00,2
23.10,39.70,23.40,27.80,20.40,9.60,1.06,10.50,314.00,0
23.70,52.40,0.30,4.50,18.70,6.30,1.04,10.70,313.00,0
42.00,77.80,36.00,43.70,52.30,22.30,2.42,5.60,846.00,3
35.80,80.00,37.10,44.50,38.00,14.80,2.03,3.50,538.00,3
32.00,89.40,3.60,17.40,21.80,15.80,1.34,5.40,325.00,1
23.80,79.30,9.20,10.60,22.50,5.50,1.05,12.30,544.00,0
26.60,95.90,163.10,172.90,32.40,22.50,1.84,4.20,590.00,2
27.00,73.60,0.90,3.10,13.90,4.40,1.20,10.20,488.00,0
35.30,70.30,27.30,31.90,27.40,11.10,1.75,9.30,635.00,1
25.80,68.30,12.60,19.00,13.00,6.60,1.09,11.20,310.00,0
22.30,66.10,11.30,15.40,26.80,14.10,1.32,5.50,497.00,1
36.70,44.60,2.40,5.80,28.80,18.10,1.63,8.70,502.00,2
31.40,81.30,12.30,15.10,31.70,11.90,1.44,5.50,447.00,1
22.50,56.10,27.40,33.80,19.00,5.40,0.87,16.60,492.00,0
35.30,82.20,73.90,91.10,34.30,7.10,2.54,5.50,659.00,2
31.30,71.50,20.20,28.60,21.60,4.40,1.02,13.70,306.00,0
31.70,71.70,18.90,24.80,13.50,3.70,0.78,23.40,369.00,0
28.30,70.20,47.10,53.90,28.60,11.50,1.59,7.70,604.00,1
55.90,87.80,33.90,52.70,28.60,17.50,2.51,2.90,834.00,3
28.70,69.00,19.10,33.70,19.40,11.00,1.24,9.70,589.00,1
18.00,43.20,5.40,10.00,16.40,2.20,1.07,14.50,571.00,0
27.60,51.30,6.00,12.70,32.60,6.40,1.44,5.10,386.00,1
26.60,49.00,8.90,12.60,15.10,0.30,0.79,11.80,337.00,0
28.70,55.10,20.50,23.60,17.30,2.60,0.86,11.90,347.00,0
30.30,58.10,1.80,13.50,29.60,6.50,1.54,8.50,524.00,1
20.60,88.60,47.90,57.90,28.90,12.30,1.94,5.40,412.00,1
23.50,62.30,6.90,13.90,18.30,4.10,0.92,11.40,196.00,0
26.60,56.10,1.60,4.60,23.20,4.40,0.87,10.20,322.00,0
36.60,93.30,46.60,54.00,29.80,19.60,2.12,4.70,624.00,2
29.20,73.00,26.40,30.50,9.30,4.10,1.14,11.20,350.00,0
31.90,70.70,20.20,28.70,29.20,9.70,1.39,6.40,689.00,1
23.10,50.90,6.10,9.20,14.00,8.30,0.87,11.00,287.00,0
20.90,62.30,7.40,11.10,20.60,3.00,0.96,13.10,295.00,0
39.80,108.40,30.30,39.30,32.20,21.50,2.03,3.00,572.00,3
30.60,92.30,14.20,30.60,22.40,14.40,1.60,5.60,574.00,1
37.90,67.40,57.90,71.00,21.30,12.30,1.89,4.10,824.00,2
26.70,77.80,4.80,10.40,20.80,6.40,1.05,15.30,294.00,0
34.70,87.70,44.80,46.00,35.80,11.90,2.11,4.50,473.00,2
34.80,70.40,28.90,46.60,35.70,14.40,1.61,4.10,805.00,2
31.80,67.60,9.80,15.10,29.20,2.10,1.64,6.70,454.00,1
49.20,81.80,89.90,113.70,48.60,21.60,1.97,2.70,654.00,3
46.40,79.40,116.90,130.40,39.50,25.10,3.14,2.80,577.00,3
23.60,72.60,1.10,4.70,14.00,4.00,1.12,13.00,300.00,0
29.10,58.00,8.90,13.80,14.60,5.10,0.97,11.30,582.00,0
34.70,61.70,30.80,38.50,44.70,26.70,2.31,6.40,436.00,2
21.40,65.30,9.90,12.70,25.50,2.50,1.01,11.70,295.00,0
29.20,54.00,4.70,17.10,37.90,18.20,1.75,7.40,543.00,1
29.90,69.70,4.00,13.50,25.50,10.50,1.52,11.80,668.00,1
25.10,43.30,23.00,28.60,24.20,3.90,1.01,16.00,392.00,0
23.20,44.40,4.20,10.90,15.60,8.90,0.86,10.20,289.00,0
23.30,71.10,23.00,39.00,29.50,11.60,1.21,15.60,404.00,1
30.10,88.20,66.20,70.90,25.00,14.40,1.37,6.40,512.00,1
35.00,92.40,7.40,29.00,25.00,17.90,2.16,6.80,718.00,2
31.30,75.90,2.70,9.30,29.50,10.70,1.17,5.10,697.00,1
31.50,67.60,33.40,46.20,22.80,0.70,2.07,5.40,446.00,1
35.70,99.90,20.20,33.80,37.70,18.50,2.08,7.10,599.00,2
37.30,68.20,4.30,20.80,40.30,20.00,2.01,5.40,681.00,2
21.90,68.00,32.00,37.20,25.50,1.80,1.14,12.30,211.00,0
24.90,47.40,26.10,32.30,11.30,9.80,0.89,17.50,266.00,0
33.20,59.60,11.50,15.60,23.60,6.40,1.25,5.60,463.00,1
25.10,81.30,11.90,21.90,33.80,8.10,1.48,13.90,625.00,1
27.60,62.50,8.70,16.00,18.40,3.70,1.02,10.40,235.00,0
26.80,50.90,17.80,25.30,21.30,3.20,0.98,11.50,346.00,0
37.50,95.70,6.10,28.00,32.90,20.70,1.73,8.90,802.00,2
26.70,77.30,27.10,33.30,24.10,2.50,1.12,10.30,501.00,0
23.90,79.80,35.50,48.20,25.80,11.10,1.77,8.80,441.00,1
29.80,112.50,40.70,55.30,37.60,25.40,3.17,5.40,662.00,3
26.20,85.90,48.10,60.20,19.80,9.00,1.56,7.10,286.00,1
26.90,74.70,2.70,10.70,25.60,4.30,0.99,10.20,271.00,0
37.40,77.50,14.60,21.90,28.20,6.50,1.09,5.80,642.00,1
26.70,61.60,12.90,21.10,20.30,7.50,0.99,10.70,577.00,0
36.60,113.10,143.00,167.30,41.80,11.70,2.43,2.70,644.00,3
37.10,105.00,124.50,136.40,41.90,26.00,2.60,2.60,849.00,3
19.60,74.70,1.00,4.60,22.90,4.10,0.94,10.40,388.00,0
27.00,66.20,6.30,9.70,13.40,4.60,1.00,13.30,299.00,0
33.80,68.40,24.40,30.40,25.60,7.70,1.26,5.40,599.00,1
